album_name,track_id,track_name,track_duration,track_popularity,track_preview,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Fallen,3UygY7qW2cvG9Llkay6i1i,going under,214946,68,,0.37,0.858,11,-4.885,0,0.0545,0.00815,2.12e-05,0.229,0.464,175.077
Fallen,0COqiPhxzoWICwFCS4eZcp,bring me to life,235893,77,,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
Fallen,0tWEB6BxbI48XN79QE1JbT,everybody's fool,195880,62,,0.437,0.835,2,-5.076,0,0.0405,0.00145,2.27e-05,0.245,0.296,95.111
Fallen,4UzVcXufOhGUwF56HT7b8M,my immortal,262533,73,,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012
Fallen,6Z77oDcn6iI1MHFCBPjl24,haunted,185440,54,,0.364,0.861,4,-4.588,0,0.0617,0.00959,0.00449,0.107,0.16,155.672
Fallen,46fyLy4W9HhAkcb67kLaAV,tourniquet,278066,56,,0.204,0.898,4,-5.859,0,0.0938,0.00505,0.0107,0.31,0.14,98.943
Fallen,7q6CybWAg3uYLgS5tDWqmd,imaginary,256493,52,,0.399,0.747,4,-5.472,0,0.031,0.00681,0.00327,0.205,0.278,150.053
Fallen,5j7gLuOsBOyqooruGxX4nx,taking over me,228613,54,,0.476,0.796,9,-5.544,0,0.0335,0.0147,2.85e-05,0.0981,0.399,90.038
Fallen,0aYUqsvZG7bAslrUkd9Z0g,hello,220360,57,,0.416,0.178,11,-11.428,0,0.031,0.912,0.000138,0.342,0.0699,139.969
Fallen,2aUuMeSbt2aEv94MdG2BYS,my last breath,247333,52,,0.353,0.774,6,-5.862,0,0.0491,0.00135,0.000199,0.105,0.452,176.201
Fallen,1TU3KOnNwSERgNbF2Yzl7N,whisper,327333,51,,0.331,0.846,2,-5.702,0,0.0516,0.00689,9.43e-05,0.27,0.369,175.121
Fallen,3PYdxIDuBIuJSDGwfptFx4,my immortal   band version,273360,56,,0.367,0.34,9,-7.877,1,0.0306,0.755,1.56e-05,0.0868,0.0704,149.788
Anywhere But Home (Live),4CJGuGDU0Uf3Z9amdY5bji,"haunted   live from le zénith,france/2004",244946,32,,0.146,0.935,4,-7.036,0,0.283,0.00823,0.201,0.733,0.0875,74.489
Anywhere But Home (Live),3zOJLR1Y7vhdoC9GdQZSkC,"going under   live from le zénith,france/2004",237386,33,,0.47,0.943,11,-5.042,0,0.0743,0.00888,0.553,0.976,0.333,87.522
Anywhere But Home (Live),75TjR409MNOJDUT0R80Lyw,"taking over me   live from le zénith,france/2004",237266,31,,0.342,0.914,7,-6.22,0,0.0887,0.0265,0.025,0.962,0.24,179.795
Anywhere But Home (Live),49JdsVsUblQxCuw6iov2Op,"everybody's fool   live from le zénith,france/2004",220186,32,,0.316,0.877,1,-7.277,0,0.0671,0.00153,0.656,0.954,0.164,94.804
Anywhere But Home (Live),3FJQNtWFNNUlF2pi3razfk,"thoughtless   live from le zénith,france/2004",277106,45,,0.423,0.82,9,-6.507,1,0.0431,0.00106,0.0763,0.764,0.0826,162.034
Anywhere But Home (Live),0kOMliPZUwL4GEAaSdr0j2,"my last breath   live from le zénith,france/2004",233040,31,,0.369,0.79,6,-7.141,0,0.0365,8.46e-05,0.341,0.981,0.155,176.004
Anywhere But Home (Live),74zhOvR4FthxQgFeRP0bVF,"farther away   live from le zénith,france/2004",302626,32,,0.462,0.888,4,-6.0,0,0.0573,2.65e-05,0.754,0.771,0.193,169.936
Anywhere But Home (Live),2zn4moJkEmIVfV83iye9t5,"breathe no more   live from le zénith,france/2004",213853,33,,0.562,0.431,11,-10.67,0,0.0307,0.323,0.0185,0.955,0.167,108.012
Anywhere But Home (Live),0umOKmb2xrgD9yutQHbCXz,"my immortal   live from le zénith,france/2004",278240,41,,0.209,0.408,9,-11.725,1,0.0502,0.522,0.000949,0.938,0.0713,149.716
Anywhere But Home (Live),1AjCrY9w0edn2jAGEAkzJ7,"bring me to life   live from le zénith,france/2004",283760,40,,0.341,0.825,4,-7.22,0,0.0622,0.0221,0.0306,0.522,0.0398,94.992
Anywhere But Home (Live),2IR6jzSjOjp8X3Ib4SYDI8,"tourniquet   live from le zénith,france/2004",257506,31,,0.48,0.883,4,-6.358,0,0.0529,0.000534,0.466,0.545,0.153,102.04
Anywhere But Home (Live),0GCjCEPkEuuzFn3izkuONK,"imaginary   live from le zénith,france/2004",325280,30,,0.339,0.887,4,-7.551,0,0.092,0.000901,0.791,0.916,0.133,150.037
Anywhere But Home (Live),5xnziMgEllaD1ms67miiTj,"whisper   live from le zénith,france/2004",343600,30,,0.472,0.812,2,-7.09,1,0.0385,0.00114,0.511,0.972,0.371,87.483
Anywhere But Home (Live),1kvuT0SqjPAUUqQJW4bxjo,missing,256053,48,,0.329,0.529,2,-7.287,0,0.0313,0.637,0.0,0.317,0.197,174.909
The Open Door,7hlXiMxN81uctLsvbtHZ8x,sweet sacrifice,185533,53,,0.486,0.87,2,-4.947,1,0.0903,0.00679,3.15e-06,0.312,0.336,97.013
The Open Door,663Karu2rvKLdnY0eo1n3M,call me when you're sober,214706,64,,0.45,0.883,7,-4.094,1,0.0524,0.00193,0.0,0.293,0.328,93.41
The Open Door,1UfCIFhRr8Bci9LUJ68dvp,weight of the world,217960,48,,0.266,0.949,8,-3.941,1,0.132,0.000852,0.000831,0.131,0.39,140.145
The Open Door,5YaLFRpqpUzgLLDcukNn0H,lithium,224106,60,,0.483,0.631,10,-3.826,0,0.0356,0.214,0.0,0.0974,0.212,117.993
The Open Door,6Sh05fnlrLbMfSuI8Qur6a,cloud nine,262173,44,,0.125,0.893,3,-4.217,0,0.21,0.0432,8.48e-05,0.151,0.19,194.55
The Open Door,7uCzFZHGoVPlINC4fR24gV,snow white queen,262733,44,,0.505,0.835,9,-5.52,0,0.0737,0.0411,1.11e-05,0.0914,0.267,132.004
The Open Door,1M8YN6ekSgCnjc5UckHYpq,lacrymosa,217466,45,,0.439,0.775,4,-5.35,0,0.0727,0.00801,5.28e-05,0.104,0.194,136.973
The Open Door,21ceHLJfgyO9703AlzM4DU,like you,256973,43,,0.569,0.511,8,-7.255,1,0.0372,0.587,8.56e-05,0.181,0.124,102.907
The Open Door,3DxKCst1JPt8qw7soauFXc,lose control,290000,43,,0.308,0.726,8,-6.547,0,0.0608,0.0966,0.0134,0.102,0.161,90.126
The Open Door,2LlCbNQnkIRIc2ssMgUZsV,the only one,280200,43,,0.461,0.789,5,-5.786,0,0.0528,0.00621,5.17e-06,0.508,0.349,147.925
The Open Door,3m8zVJ3n1mWv1SfovpmKHr,your star,283266,42,,0.48,0.706,7,-7.445,0,0.0391,0.159,0.000538,0.262,0.194,93.478
The Open Door,4iDQezFTnOwgnrPYiqQ6TP,all that i am living for,228706,48,,0.514,0.809,3,-4.396,0,0.0617,0.0121,0.0,0.0763,0.385,136.881
The Open Door,0eHxqgbpr2ptXQtw8Ab3ve,good enough,331360,51,,0.39,0.208,0,-11.402,1,0.035,0.913,0.000348,0.124,0.0546,114.838
Evanescence,0uOo8xRtQ6okTZMR89ppVk,what you want,221360,51,,0.569,0.929,11,-2.624,0,0.0762,0.00531,0.0,0.142,0.533,121.992
Evanescence,28FTCznKZRfYwJVA9OmPif,made of stone,213573,47,,0.418,0.909,8,-2.977,1,0.0829,0.00388,0.00321,0.201,0.529,81.042
Evanescence,03cH7hozNkNX8qWi8xbkUA,the change,222346,47,,0.435,0.905,1,-4.276,1,0.0618,0.000318,0.000518,0.177,0.328,150.037
Evanescence,1Ej0xptDBpBxUM1dIPcHlm,my heart is broken,269160,50,,0.465,0.92,6,-4.368,1,0.084,6.38e-05,0.0527,0.562,0.233,96.433
Evanescence,5VLfWwZvV9zk368UJQEyyB,the other side,245000,46,,0.433,0.91,5,-4.326,1,0.0931,0.000528,0.00085,0.172,0.432,161.853
Evanescence,7xiZGclYWXgBpFjmr3ziMz,erase this,235240,46,,0.455,0.97,0,-2.761,1,0.117,0.000187,1.1e-05,0.321,0.313,131.966
Evanescence,7c8unZeNL9gI6Go9DgGYpb,lost in paradise,282293,46,,0.266,0.571,8,-4.983,1,0.0376,0.0532,3.96e-06,0.073,0.104,113.059
Evanescence,3ml4u4tmryJO9a68Rc7d8O,sick,210040,45,,0.367,0.874,2,-4.915,1,0.0516,0.000626,0.00112,0.0762,0.231,160.034
Evanescence,39UzUACTcDknfjc7umPcuM,the end of the dream,229146,39,,0.43,0.959,10,-3.905,0,0.0805,5.4e-05,0.00248,0.16,0.335,94.008
Evanescence,5NvEXCtdAv5M0FFyBrGKN5,oceans,218226,45,,0.227,0.908,4,-2.993,1,0.0855,0.000562,0.00476,0.136,0.123,94.31
Evanescence,5JcSPtJJev0wWbFfOsEVjy,never go back,267306,39,,0.296,0.969,0,-2.824,1,0.157,0.000326,0.0502,0.0904,0.104,123.33
Evanescence,6d8ta9H6DvgOqfwxQYqJsV,swimming home,221386,44,,0.542,0.456,1,-8.754,1,0.0274,0.347,0.000557,0.0957,0.164,125.98
Evanescence (Deluxe Version),3UkDyGtriDY7NzOJbF0rIH,a new way to bleed,226400,44,,0.378,0.895,1,-4.347,1,0.0531,4.96e-05,0.0252,0.15,0.258,155.946
Evanescence (Deluxe Version),4cfoU2UXXsbES5qwvdLHCO,say you will,223280,43,,0.479,0.956,2,-3.596,1,0.0753,0.000883,2.14e-05,0.0716,0.389,131.997
Evanescence (Deluxe Version),0TVPq3QIYUYaD2LytckdPD,disappear,186946,45,,0.48,0.897,5,-3.032,0,0.0523,0.000241,6.02e-05,0.198,0.458,107.14
Evanescence (Deluxe Version),1ium9V09FUQ32Co0D3B6Dz,secret door,233346,36,,0.149,0.406,4,-7.666,0,0.0303,0.714,3.03e-05,0.0908,0.0591,168.851
Lost Whispers,651g6g8RLhF5dN7lyb9f5N,lost whispers   intro,58596,0,,0.344,0.315,7,-16.337,1,0.0766,0.407,0.386,0.181,0.263,179.968
Lost Whispers,4VO8CRItRuli3cnQLBDpvv,even in death   2016 version,261537,47,,0.315,0.327,4,-6.977,0,0.0306,0.881,8.02e-05,0.11,0.0633,179.853
Lost Whispers,63Yk0ZcjJSv37O8Vy7PFZi,farther away,239037,46,,0.304,0.868,9,-3.834,1,0.044,0.000285,0.155,0.185,0.325,170.093
Lost Whispers,2lH8hMXxuIcjpbIok9KbUj,breathe no more   b side version,228809,49,,0.62,0.186,11,-8.527,0,0.0284,0.971,1.47e-06,0.117,0.219,96.992
Lost Whispers,5XFvhTjWWDttRY2pi4SIwx,if you don’t mind,177005,37,,0.42,0.862,5,-4.654,0,0.0623,0.000216,0.00125,0.135,0.294,76.619
Lost Whispers,4J0TPFdHcy2z4u3myLlGXe,together again,198611,45,,0.423,0.665,0,-5.463,0,0.0344,0.232,0.00111,0.131,0.181,104.023
Lost Whispers,0BeBYa53MXh2aQmzc64BHd,the last song i'm wasting on you,247060,46,,0.324,0.252,9,-8.866,0,0.0337,0.911,1.86e-06,0.155,0.222,80.538
Synthesis,3nK9XoQh7wR3iOaWfMLXAr,overture,57560,9,,0.149,0.056,9,-20.266,1,0.0453,0.963,0.745,0.108,0.0343,96.103
Synthesis,4HDd1hurlRFK7Mz1BCnv1f,hi lo,307720,13,,0.447,0.607,3,-6.533,0,0.0314,0.75,0.000278,0.106,0.258,92.895
Synthesis,4vHFFk4Vm9NWhGq2FAsTlj,bring me to life   synthesis,257320,6,,0.362,0.785,4,-3.876,0,0.0567,0.61,1.11e-06,0.0722,0.16,90.904
Synthesis,0u9gcuaTNga0Wwm8CBAQJx,unraveling   interlude,100680,3,,0.18,0.163,4,-15.121,0,0.0383,0.962,0.921,0.159,0.0563,147.564
Synthesis,0V0yk6zzHy8isaQIMDoGJu,the in between   piano solo,131893,3,,0.298,0.0825,7,-19.268,0,0.0396,0.973,0.882,0.478,0.0382,95.503
Synthesis,4jdfxZWpcsTIAYs37OcY1y,imperfection,262893,10,,0.527,0.832,5,-3.593,0,0.0615,0.204,4.38e-05,0.108,0.339,83.04
Synthesis Live,4d4kQ4RAVexSLnLNBiid1m,overture / never go back   live,364093,30,https://p.scdn.co/mp3-preview/6a962180dbfb092cebcf4c65bfd910b0158dbdaa?cid=63a77ff40e794a12ae216a18befde98c,0.248,0.629,7,-6.639,1,0.0454,0.639,0.000415,0.921,0.0403,123.237
Synthesis Live,2ujFfnr1No4tWf4W3mSVbK,lacrymosa   live,220933,29,https://p.scdn.co/mp3-preview/434714ce9a46952f375dcde4e617479e893419ea?cid=63a77ff40e794a12ae216a18befde98c,0.492,0.618,4,-5.739,0,0.0474,0.352,2.25e-06,0.12,0.172,136.962
Synthesis Live,3YccBUaJsC6uihYvQ5rtZs,the end of the dream   live,298320,28,https://p.scdn.co/mp3-preview/696ac977288f86cc8b345536e7c9ec79674b146b?cid=63a77ff40e794a12ae216a18befde98c,0.197,0.534,10,-7.748,1,0.0494,0.074,3.49e-06,0.705,0.121,94.06
Synthesis Live,1CuTweEyKaBtv9FlhXnWNN,my heart is broken   live,280346,28,https://p.scdn.co/mp3-preview/1c0f92c7a840a6a1c5881369da275ecce6e21387?cid=63a77ff40e794a12ae216a18befde98c,0.366,0.844,3,-6.262,0,0.071,0.236,0.000123,0.878,0.149,96.549
Synthesis Live,3bXIY7o0ijlEEccr8WKhwA,lithium   live,238986,28,https://p.scdn.co/mp3-preview/941444f26ea69e679b3606a02bfd73bef5954dcf?cid=63a77ff40e794a12ae216a18befde98c,0.261,0.362,10,-7.3,0,0.0328,0.894,0.000215,0.728,0.116,118.843
Synthesis Live,1rvxZ0qg96Nkr3PLhHTbCA,bring me to life   live,264026,29,https://p.scdn.co/mp3-preview/87cbd661e1853b8f8c5fda9bbfd420dfc24d939b?cid=63a77ff40e794a12ae216a18befde98c,0.149,0.813,4,-5.26,0,0.056,0.346,2.07e-05,0.914,0.242,90.642
Synthesis Live,0SfoBgyJybeyWik60aOICb,unraveling (interlude) / imaginary   live,347106,27,https://p.scdn.co/mp3-preview/97edb20fbaa1b123c9e185dece1cc316b90c01d8?cid=63a77ff40e794a12ae216a18befde98c,0.194,0.615,4,-7.398,0,0.0452,0.566,0.0057,0.687,0.0948,149.129
Synthesis Live,6NKRLLOaWG5F0NSCJ0oAZ6,secret door   live,226720,25,https://p.scdn.co/mp3-preview/0b21c26befeb8b105a1d0abee757f22fde35e641?cid=63a77ff40e794a12ae216a18befde98c,0.169,0.704,4,-6.272,0,0.0548,0.328,0.00375,0.928,0.189,187.891
Synthesis Live,3KYLgBAyZSCFSht6oWdhJ1,hi lo   live,309293,25,https://p.scdn.co/mp3-preview/96bc2984b945a9212a0a048bcb39d003a5173fde?cid=63a77ff40e794a12ae216a18befde98c,0.396,0.609,3,-7.714,0,0.0397,0.453,3.19e-05,0.804,0.301,92.924
Synthesis Live,0XMO742JjOJvElQpCHR4uH,lost in paradise   live,288066,26,https://p.scdn.co/mp3-preview/d2baa269f6cfa3950fc381e66a2d81195eb370f0?cid=63a77ff40e794a12ae216a18befde98c,0.206,0.46,8,-6.88,1,0.0352,0.329,7.67e-05,0.757,0.123,112.918
Synthesis Live,2wLx0egvRL5NE9jC8RMXNg,your star   live,284373,24,https://p.scdn.co/mp3-preview/3fa0ee270c0d943f732e8843caaafd038c9b8917?cid=63a77ff40e794a12ae216a18befde98c,0.202,0.558,0,-7.169,0,0.0394,0.548,2.71e-06,0.701,0.109,87.396
Synthesis Live,0IxOodnb8zvqGkltLy3OxK,my immortal   live,287613,28,https://p.scdn.co/mp3-preview/32dc44d958e0c978e232c2e886232282abe0b1ab?cid=63a77ff40e794a12ae216a18befde98c,0.229,0.273,9,-9.025,1,0.0312,0.845,0.0,0.704,0.129,71.445
Synthesis Live,4VoRXPML8TyIDKubDIq8D4,the in between (piano solo) / imperfection   live,412906,24,https://p.scdn.co/mp3-preview/bdb0053f22b5ab8526a562373a585d99eca1c3ca?cid=63a77ff40e794a12ae216a18befde98c,0.224,0.693,4,-6.745,0,0.0524,0.155,5.14e-06,0.919,0.106,165.987
Synthesis Live,75LKtEs9uV4yeJfPwOPM83,speak to me   live,318373,24,https://p.scdn.co/mp3-preview/7d22f1feaf373c2470fa7751dded86f8f4b63863?cid=63a77ff40e794a12ae216a18befde98c,0.188,0.309,5,-7.767,0,0.0321,0.913,0.000143,0.977,0.0786,67.037
Synthesis Live,4UQi7aNmJV8xVTArTLMxRs,good enough   live,336186,23,https://p.scdn.co/mp3-preview/8b2119a8b9131013c057d1ff9037109fe89bd198?cid=63a77ff40e794a12ae216a18befde98c,0.273,0.184,0,-11.357,1,0.0352,0.942,0.000298,0.806,0.0671,115.143
Synthesis Live,1JmMcH6tHMlY7syGKzWcHq,swimming home   live,227680,22,https://p.scdn.co/mp3-preview/90a58ddfea41a855ea6d0da8bf9f3dfc12e930d4?cid=63a77ff40e794a12ae216a18befde98c,0.474,0.533,1,-6.627,1,0.0296,0.484,4.21e-05,0.676,0.243,121.82
The Chain,5F29kjOr9bYTUtSPLoixHB,the chain,252066,49,https://p.scdn.co/mp3-preview/96cb324c53460226c89a9f9a8631ffcd1621465b?cid=63a77ff40e794a12ae216a18befde98c,0.455,0.809,9,-5.845,1,0.0521,0.00286,0.000296,0.0998,0.237,76.036
